Epoch:94	 lr:0.079	 duration:25.624	train_acc:47.90	train_loss:0.009415	 test_acc:0.01	 test_loss:81.570000
Epoch:95	 lr:0.078	 duration:26.283	train_acc:45.15	train_loss:0.009398	 test_acc:0.01	 test_loss:81.590000
Epoch:96	 lr:0.076	 duration:25.115	train_acc:48.42	train_loss:0.009491	 test_acc:0.01	 test_loss:82.110000
Epoch:97	 lr:0.074	 duration:22.924	train_acc:46.99	train_loss:0.009621	 test_acc:0.01	 test_loss:81.800000
Epoch:98	 lr:0.073	 duration:26.894	train_acc:47.82	train_loss:0.009618	 test_acc:0.01	 test_loss:82.670000
Epoch:99	 lr:0.071	 duration:26.641	train_acc:46.08	train_loss:0.009446	 test_acc:0.01	 test_loss:81.860000
Epoch:100	 lr:0.069	 duration:24.765	train_acc:45.95	train_loss:0.009266	 test_acc:0.01	 test_loss:83.480000
Epoch:101	 lr:0.067	 duration:24.330	train_acc:48.46	train_loss:0.009028	 test_acc:0.01	 test_loss:81.570000
Epoch:102	 lr:0.065	 duration:25.022	train_acc:45.11	train_loss:0.009117	 test_acc:0.01	 test_loss:82.650000
Epoch:103	 lr:0.064	 duration:25.356	train_acc:45.98	train_loss:0.009305	 test_acc:0.01	 test_loss:83.200000
Epoch:104	 lr:0.062	 duration:26.176	train_acc:46.37	train_loss:0.009348	 test_acc:0.01	 test_loss:84.350000
Epoch:105	 lr:0.060	 duration:25.557	train_acc:45.87	train_loss:0.009235	 test_acc:0.01	 test_loss:83.810000
Epoch:106	 lr:0.058	 duration:25.950	train_acc:47.06	train_loss:0.008967	 test_acc:0.01	 test_loss:84.630000
Epoch:107	 lr:0.056	 duration:25.264	train_acc:47.06	train_loss:0.008711	 test_acc:0.01	 test_loss:83.530000
Epoch:108	 lr:0.054	 duration:25.426	train_acc:45.64	train_loss:0.008883	 test_acc:0.01	 test_loss:84.420000
Epoch:109	 lr:0.052	 duration:25.927	train_acc:46.29	train_loss:0.009099	 test_acc:0.01	 test_loss:83.550000
Epoch:110	 lr:0.050	 duration:25.124	train_acc:47.75	train_loss:0.009160	 test_acc:0.01	 test_loss:83.860000
Epoch:111	 lr:0.048	 duration:24.626	train_acc:47.38	train_loss:0.009116	 test_acc:0.01	 test_loss:83.660000
Epoch:112	 lr:0.046	 duration:25.983	train_acc:48.95	train_loss:0.009014	 test_acc:0.01	 test_loss:84.240000
